molecule_zinc_id,molecule_chembl_id,smiles_clean,pKi_mean_value,pKi_last_value,pKi_first_value,target_organism
ZINC000005837036,CHEMBL13799,CCC(C)(C)n1c(C)cc2c3c(N)nc(N)nc3ccc21,9.4,9.4,9.4,Homo sapiens
ZINC000005838548,CHEMBL13799,CCCCc1cc2c3c(N)nc(N)nc3ccc2n1C(C)(C)C,7.52,7.52,7.52,Homo sapiens
ZINC000005838982,CHEMBL16403,CCCOc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)cc1OC,7.82,7.82,7.82,Homo sapiens
ZINC000005839186,CHEMBL13799,CCCc1cc2c3c(N)nc(N)nc3ccc2n1C(CC)CC,9.4,9.4,9.4,Homo sapiens
ZINC000005839193,CHEMBL13799,CCCc1cc2c3c(N)nc(N)nc3ccc2n1CC,7.62,7.62,7.62,Homo sapiens
ZINC000005840585,CHEMBL13052,CCN(CC)c1ccc(Sc2cccc3nc(N)nc(N)c23)cc1,5.37,5.37,5.37,Homo sapiens
ZINC000005845205,CHEMBL16403,CCOc1ccc(OCC)c(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c1,6.0,6.0,6.0,Homo sapiens
ZINC000005847180,CHEMBL16403,CCc1c(CNc2cc(C)ccc2OC)cnc2nc(N)nc(N)c12,6.43,6.43,6.43,Homo sapiens
ZINC000005847187,CHEMBL16403,CCc1c(CNc2cc(C(F)(F)F)ccc2OC)cnc2nc(N)nc(N)c12,8.44,8.44,8.44,Homo sapiens
ZINC000005847194,CHEMBL16403,CCc1c(CNc2cc(OC)ccc2OC)cnc2nc(N)nc(N)c12,6.0,6.0,6.0,Homo sapiens
ZINC000005847652,CHEMBL13799,CCc1cc2c3c(N)nc(N)nc3ccc2n1C(C)(C)C,10.0,10.0,10.0,Homo sapiens
ZINC000005847664,CHEMBL13799,CCc1cc2c3c(N)nc(N)nc3ccc2n1C(CC)CC,9.7,9.7,9.7,Homo sapiens
ZINC000005847670,CHEMBL13799,CCc1cc2c3c(N)nc(N)nc3ccc2n1C,7.54,7.54,7.54,Homo sapiens
ZINC000005847690,CHEMBL13799,CCc1cc2c3c(N)nc(N)nc3ccc2n1CC,8.0,8.0,8.0,Homo sapiens
ZINC000005847694,CHEMBL13799,CCc1cc2c3c(N)nc(N)nc3ccc2n1[C@@H](C)CC,10.0,10.0,10.0,Homo sapiens
ZINC000005847700,CHEMBL13799,CCc1cc2c3c(N)nc(N)nc3ccc2n1[C@H](C)CC,10.0,10.0,10.0,Homo sapiens
ZINC000005853044,CHEMBL16403,COCc1c(CNc2cc(OC)c(OC)c(OC)c2)cnc2nc(N)nc(N)c12,5.89,5.89,5.89,Homo sapiens
ZINC000005853053,CHEMBL16403,COCc1c(CNc2ccc(OC)c(OC)c2)cnc2nc(N)nc(N)c12,5.21,5.21,5.21,Homo sapiens
ZINC000005853359,CHEMBL13799,COc1cc(Cn2ccc3c4c(N)nc(N)nc4ccc32)cc(OC)c1OC,8.22,8.22,8.22,Homo sapiens
ZINC000005881950,CHEMBL13799,CC(C)(C)c1cc2c(ccc3nc(N)nc(N)c32)[nH]1,8.7,8.7,8.7,Homo sapiens
ZINC000005881983,CHEMBL13052,CC(C)(C)c1ccc(Sc2c(C#N)ccc3nc(N)nc(N)c23)cc1,5.04,5.04,5.04,Homo sapiens
ZINC000005882028,CHEMBL13052,CC(C)COc1ccc2nc(N)nc(N)c2c1Sc1ccc(C(C)(C)C)cc1,7.52,7.52,7.52,Homo sapiens
ZINC000005882451,CHEMBL13799,CC(C)c1cc2c(ccc3nc(N)nc(N)c32)[nH]1,8.0,8.0,8.0,Homo sapiens
ZINC000005882454,CHEMBL13052,CC(C)c1ccc(Sc2cccc3nc(N)nc(N)c23)cc1,5.62,5.62,5.62,Homo sapiens
ZINC000005882456,CHEMBL13799,CC(C)n1c(C(C)(C)C)cc2c3c(N)nc(N)nc3ccc21,9.7,9.7,9.7,Homo sapiens
ZINC000005882805,CHEMBL13052,CCC(C)(C)c1ccc(Sc2cccc3nc(N)nc(N)c23)cc1,5.41,5.41,5.41,Homo sapiens
ZINC000005882812,CHEMBL13799,CCC(CC)n1c(C(C)C)cc2c3c(N)nc(N)nc3ccc21,10.0,10.0,10.0,Homo sapiens
ZINC000005883009,CHEMBL13052,CCCCCCc1ccc(Sc2cccc3nc(N)nc(N)c23)cc1,6.26,6.26,6.26,Homo sapiens
ZINC000005884519,CHEMBL13052,CCOc1ccc2nc(N)nc(N)c2c1Sc1ccc(C(C)(C)C)cc1,6.09,6.09,6.09,Homo sapiens
ZINC000005887720,CHEMBL13799,CCn1c(C(C)C)cc2c3c(N)nc(N)nc3ccc21,8.7,8.7,8.7,Homo sapiens
ZINC000005888367,CHEMBL16403,COCc1c(CNc2ccc(Cl)cc2)cnc2nc(N)nc(N)c12,5.59,5.59,5.59,Homo sapiens
ZINC000005888539,CHEMBL14570,COc1cc(OC)c(OC)cc1CNc1ccc2nc(N)nc(N)c2c1,5.85,5.85,5.85,Homo sapiens
ZINC000005888836,CHEMBL13052,COc1cc(Sc2cccc3nc(N)nc(N)c23)cc(OC)c1OC,5.36,5.36,5.36,Homo sapiens
ZINC000005889226,CHEMBL13052,COc1ccc(Sc2cccc3nc(N)nc(N)c23)cc1,5.46,5.46,5.46,Homo sapiens
ZINC000005889441,CHEMBL13052,COc1ccc(Sc2cccc3nc(N)nc(N)c23)cc1OC,5.39,5.39,5.39,Homo sapiens
ZINC000005889719,CHEMBL13052,COc1cccc(Sc2cccc3nc(N)nc(N)c23)c1,5.89,5.89,5.89,Homo sapiens
ZINC000005889821,CHEMBL13052,COc1ccccc1Sc1cccc2nc(N)nc(N)c12,6.4,6.4,6.4,Homo sapiens
