molecule_chembl_id,smiles_clean,pKi_mean_value,pKi_first_value,target_organism
CHEMBL158691,CC(C)C1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,7.5934598195660445,7.5934598195660445,Plasmodium falciparum K1
CHEMBL345146,CC(C)C1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,7.437707135543525,7.437707135543525,Plasmodium falciparum K1
CHEMBL161451,NC1=NC(c2ccc(Oc3ccccc3)cc2)N(c2cccc(Cl)c2)C(N)=N1,9.154901959985745,9.154901959985745,Plasmodium falciparum K1
CHEMBL351099,NC1=NC(c2cccc(OCc3ccccc3)c2)N(c2ccc(Cl)cc2)C(N)=N1,9.154901959985745,9.154901959985745,Plasmodium falciparum K1
CHEMBL159040,Nc1nc(N)c(-c2ccccc2)c(CCCO)n1,7.070581074285707,7.070581074285707,Plasmodium falciparum K1
CHEMBL422005,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCO)n1,8.036212172654444,8.036212172654444,Plasmodium falciparum K1
CHEMBL352441,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCOC(=O)OCc2ccccc2)n1,8.920818753952375,8.920818753952375,Plasmodium falciparum K1
CHEMBL158570,NC1=NC(c2cccc(Oc3ccc(Cl)cc3)c2)N(c2cccc(Cl)c2)C(N)=N1,8.886056647693163,8.886056647693163,Plasmodium falciparum K1
CHEMBL346963,CCCCCCCC1N=C(N)N=C(N)N1c1cccc(Cl)c1,8.568636235841012,8.568636235841012,Plasmodium falciparum K1
CHEMBL348151,NC1=NC(c2cccc(Oc3cccc(C(F)(F)F)c3)c2)N(c2cccc(Cl)c2)C(N)=N1,8.568636235841012,8.568636235841012,Plasmodium falciparum K1
CHEMBL162126,Nc1nc(N)c(-c2ccccc2)c(CCCOC(=O)c2ccccc2)n1,8.468521082957745,8.468521082957745,Plasmodium falciparum K1
CHEMBL161673,CCCCCCC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,9.221848749616356,9.221848749616356,Plasmodium falciparum K1
CHEMBL161034,NC1=NC(c2ccc(Oc3ccccc3)cc2)N(c2ccc(Cl)cc2)C(N)=N1,9.397940008672036,9.397940008672036,Plasmodium falciparum K1
CHEMBL129788,CC1(C)N=C(N)N=C(N)N1OCCCOc1cc(Cl)c(Cl)cc1Cl,8.958607314841775,8.958607314841775,Plasmodium falciparum K1
CHEMBL185800,Cc1cc2nc3n(c2cc1C)C(C)(C)NC(N)=N3,6.7447274948966935,6.7447274948966935,Plasmodium falciparum K1
CHEMBL365481,Cc1[nH]c(N)cc2nc3ccccc3c1-2,5.638272163982407,5.638272163982407,Plasmodium falciparum K1
