molecule_chembl_id,smiles_clean,pKi_mean_value,pKi_first_value,pKi_last_value,target_organism
CHEMBL90461,CCC1N=C(N)N=C(N)N1c1ccc(Br)cc1,6.983593499128882,8.244125144327509,6.694648630553376,Plasmodium falciparum K1
CHEMBL92047,CCC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,7.016373712875465,8.443697499232712,6.723538195826755,Plasmodium falciparum K1
CHEMBL91345,Cc1ccc(N2C(N)=NC(N)=NC2c2ccccc2)cc1,7.051342567858679,8.113509274827518,6.769551078621726,Plasmodium falciparum K1
CHEMBL264392,CC(C)C1N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.0973173550562745,7.218244625347531,5.813043664534588,Plasmodium falciparum K1
CHEMBL93748,CC1N=C(N)N=C(N)N1c1ccc(Br)cc1,6.983593499128882,8.244125144327509,6.694648630553376,Plasmodium falciparum K1
CHEMBL7130,CC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,7.007722698218582,8.431798275933005,7.045757490560675,Plasmodium falciparum K1
CHEMBL365894,N/C(=N/O)c1ccc(Oc2c(Cl)cncc2Cl)cc1,4.751221284624212,4.598599459218456,6.031517051446064,Plasmodium falciparum K1
CHEMBL95274,N/C(=N\O)c1ccc(CNC(=O)c2ccc(Cl)cc2)cc1,4.319276087857594,4.112382699664264,5.823908740944319,Plasmodium falciparum K1
CHEMBL97598,C/C(=N\N=C(/N)S)c1ccc(Oc2c(Cl)cncc2Cl)cc1,5.93128418763054,6.045757490560675,5.853871964321762,Plasmodium falciparum K1
CHEMBL94470,N=C(S)N/N=C/c1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1,4.94692155651658,5.2839966563652006,5.045757490560675,Plasmodium falciparum K1
CHEMBL243185,NC(=S)N/N=C/c1ccccc1,4.52432881167557,4.627087997029894,4.508638306165727,Plasmodium falciparum K1
CHEMBL95609,N/C(=N\O)c1cccc(CS(=O)(=O)c2ccc(Cl)cc2)c1,4.225691629127479,3.991399828238082,6.096910013008056,Plasmodium falciparum K1
CHEMBL186838,N/C(=N/O)c1ccc(Oc2cc(Cl)cc(Cl)c2)c([N+](=O)[O-])c1,4.804891412439546,5.619788758288394,5.769551078621726,Plasmodium falciparum K1
CHEMBL95783,N/N=C(\S)Nc1ccc(OCc2ccccc2)cc1,4.725182629756266,4.863279432843593,5.698970004336019,Plasmodium falciparum K1
CHEMBL95615,C=CCNC(=S)NNC(=O)c1cccn(Cc2cccc(Cl)c2)c1=O,5.013164309547511,4.818156412055227,6.3872161432802645,Plasmodium falciparum K1
CHEMBL323554,C/N=C(\S)NNC(=O)c1cccn(Cc2cccc(Cl)c2)c1=O,5.066946789630613,4.94692155651658,6.045757490560675,Plasmodium falciparum K1
CHEMBL95567,NNc1nc2ccccc2nc1NN,5.240871986929786,5.443697499232712,5.065501548756432,Plasmodium falciparum K1
CHEMBL95725,COC(=O)c1sccc1-c1ccc(/C(C)=N/NC(N)=O)o1,4.87942606879415,5.013228265733755,4.698970004336019,Plasmodium falciparum K1
CHEMBL280410,COc1cc(COc2cc(Cc3cnc(N)nc3N)ccc2OCc2ccccc2)cc(OC)c1OC,6.635449004646028,7.91721462968355,6.29860473098608,Plasmodium falciparum K1
CHEMBL21799,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,7.818549454930459,9.0,9.102372908709558,Plasmodium falciparum K1
CHEMBL279492,Nc1ncc(-c2ccc(Cl)cc2)c(N)n1,6.634680524103784,8.619788758288394,9.130768280269024,Plasmodium falciparum K1
CHEMBL279986,CCc1nc(N)nc(N)c1-c1ccc(-c2ccccc2)cc1,6.446906213562814,6.72584215073632,7.045757490560675,Plasmodium falciparum K1
CHEMBL22405,COC(=O)CCCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,7.140156471992709,9.522878745280336,9.853871964321762,Plasmodium falciparum K1
CHEMBL22271,CCOc1c(Br)cc(-c2c(N)nc(N)nc2CC)cc1Br,6.60480470150786,8.154901959985743,7.431798275933005,Plasmodium falciparum K1
CHEMBL21494,COC(=O)CCCc1nc(N)nc(N)c1-c1cccc(Cl)c1,8.812882336716275,9.30102999566398,8.568636235841012,Plasmodium falciparum K1
CHEMBL282275,CCc1nc(N)nc(N)c1-c1ccc(Br)cc1,7.715907809357166,9.522878745280336,9.075720713938118,Plasmodium falciparum K1
CHEMBL22693,Nc1nc(N)c(-c2ccccc2)c(CCCc2ccccc2)n1,8.765916793966632,9.30102999566398,8.327902142064282,Plasmodium falciparum K1
CHEMBL21357,Cc1nc(N)nc(N)c1-c1ccc(Cl)cc1,7.206663697327847,8.698970004336019,9.075720713938118,Plasmodium falciparum K1
CHEMBL21691,Nc1nc(N)c(-c2ccc(Cl)cc2)c(CCCc2ccccc2)n1,7.4445427827953505,9.154901959985745,9.130768280269024,Plasmodium falciparum K1
CHEMBL278813,COc1ccc(CCCc2nc(N)nc(N)c2-c2cccc(Cl)c2)cc1,8.40340290437354,8.657577319177793,7.958607314841775,Plasmodium falciparum K1
CHEMBL21778,CCc1nc(N)nc(N)c1-c1ccc(C)cc1,7.294456997501907,9.397940008672036,8.958607314841775,Plasmodium falciparum K1
CHEMBL21885,CCc1nc(N)nc(N)c1-c1ccc(C(C)(C)C)cc1,7.313207377128215,9.221848749616356,9.113509274827518,Plasmodium falciparum K1
CHEMBL22403,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCOCCCOc2ccccc2)n1,8.576754126063193,9.397940008672036,7.886056647693163,Plasmodium falciparum K1
