molecule_chembl_id,molecule_zinc_id,smiles_clean,pKi_mean_value,pKi_last_value,pKi_first_value,target_organism
CHEMBL16871,ZINC000013472742,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,7.20625,5.01,9.4,PFLAK
CHEMBL16871,ZINC000013472743,CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,7.573076923076924,7.15,9.4,PFLAK
CHEMBL16871,ZINC000013472744,Nc1ncc(Cc2ccc(OCCCOc3cc(Cl)c(Cl)cc3Cl)cc2)c(N)n1,7.3875,7.41,9.05,PFLAK
CHEMBL15522,ZINC000013476267,C[C@@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1,7.465,8.24,6.69,PFLAK
CHEMBL15522,ZINC000013476268,C[C@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1,7.465,8.24,6.69,PFLAK
CHEMBL15522,ZINC000013476270,Cc1ccc(N2C(N)=NC(N)=N[C@H]2C)cc1,7.1850000000000005,7.64,6.73,PFLAK
CHEMBL15522,ZINC000013476271,Cc1ccc(N2C(N)=NC(N)=N[C@@H]2C)cc1,7.1850000000000005,7.64,6.73,PFLAK
CHEMBL17662,ZINC000013476276,CCCCCC[C@@]1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.620909090909091,6.02,9.22,PFLAK
CHEMBL17662,ZINC000013476277,CCCCCC[C@]1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.620909090909091,6.02,9.22,PFLAK
CHEMBL15522,ZINC000013476289,NC1=N[C@@H](c2ccccc2)N(c2ccc(Br)cc2)C(N)=N1,7.795,7.05,8.54,PFLAK
CHEMBL15522,ZINC000013476290,NC1=N[C@H](c2ccccc2)N(c2ccc(Br)cc2)C(N)=N1,7.795,7.05,8.54,PFLAK
CHEMBL15522,ZINC000013476296,NC1=N[C@@H](c2ccccc2)N(c2ccc(Cl)c(Cl)c2)C(N)=N1,8.38,7.96,8.8,PFLAK
CHEMBL15522,ZINC000013476298,NC1=N[C@H](c2ccccc2)N(c2ccc(Cl)c(Cl)c2)C(N)=N1,8.38,7.96,8.8,PFLAK
CHEMBL15522,ZINC000013488367,C[C@@H]1N=C(N)N=C(N)N1c1cccc(Cl)c1,7.86,8.0,7.99,PFLAK
CHEMBL15522,ZINC000013488368,C[C@H]1N=C(N)N=C(N)N1c1cccc(Cl)c1,7.86,8.0,7.99,PFLAK
CHEMBL17636,ZINC000013532846,CCCCCOc1ccc(Cc2cnc(N)nc2N)cc1,6.81,6.04,6.86,PFLAK
CHEMBL17636,ZINC000013532849,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,7.225,6.04,8.74,PFLAK
CHEMBL17636,ZINC000013532854,CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,6.8525,6.11,5.99,PFLAK
CHEMBL17636,ZINC000013532859,CCCCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,7.12,6.35,6.87,PFLAK
