zinc_id,smiles
ZINC000001722911,CC[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1
ZINC000004983774,CC[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1
ZINC000013472737,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1
ZINC000013809210,CCCC[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1
ZINC000013809212,CCCC[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1
ZINC000002034278,C[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1
ZINC000002034279,C[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1
ZINC000013472733,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCc1ccccc1
ZINC000013488367,C[C@@H]1N=C(N)N=C(N)N1c1cccc(Cl)c1
ZINC000013488368,C[C@H]1N=C(N)N=C(N)N1c1cccc(Cl)c1
ZINC000013532925,CCc1nc(N)nc(N)c1Cc1cc(OC)c(OC)c(OC)c1
ZINC000001748451,NC1=N[C@@H](c2ccccc2)N(c2ccc(Cl)cc2)C(N)=N1
ZINC000017039796,NC1=N[C@H](c2ccccc2)N(c2ccc(Cl)cc2)C(N)=N1
ZINC000013559304,CCC[C@@]1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1
ZINC000013559305,CCC[C@]1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1
ZINC000013809206,CCC[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1
ZINC000013809208,CCC[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1
ZINC000017126763,CC1(C)N=C(N)N=C(N)N1c1ccc(F)cc1
ZINC000095600434,NC(=O)c1ccc[n+]([C@H]2O[C@@H](CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@H](O)[C@@H]2O)c1
ZINC000013559293,CC(=O)OCCCc1nc(N)nc(N)c1-c1ccccc1
ZINC000013532877,Nc1ncc(Cc2cccc(Oc3ccccc3)c2)c(N)n1
ZINC000013476267,C[C@@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1
ZINC000013476268,C[C@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1
ZINC000013809218,CC[C@@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1
ZINC000013809220,CC[C@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1
ZINC000005974507,Nc1ncc(Cc2ccc(OCCCc3ccccc3)cc2)c(N)n1
ZINC000013809229,CC[C@@H]1N=C(N)N=C(N)N1c1ccc(C)cc1
ZINC000013809231,CC[C@H]1N=C(N)N=C(N)N1c1ccc(C)cc1
ZINC000013472727,Nc1ncc(-c2cccc(Cl)c2)c(N)n1
ZINC000013532872,Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1
ZINC000005974561,Nc1ncc(Cc2ccc(OCc3ccccc3)cc2)c(N)n1
ZINC000013532891,Nc1ncc(Cc2ccc(OCCCOc3ccccc3)cc2)c(N)n1
ZINC000013472720,CCOc1c(Br)cc(-c2c(N)nc(N)nc2CC)cc1Br
ZINC000013532904,Nc1ncc(Cc2ccc(OCCCOCCCOc3ccccc3)cc2)c(N)n1
ZINC000013532881,COc1ccc(Cc2cnc(N)nc2N)cc1OCc1ccccc1
ZINC000003076473,Cc1ccc(N2C(N)=NC(N)=N[C@@H]2c2ccccc2)cc1
ZINC000003076474,Cc1ccc(N2C(N)=NC(N)=N[C@H]2c2ccccc2)cc1
ZINC000013472736,Cc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1
ZINC000013532846,CCCCCOc1ccc(Cc2cnc(N)nc2N)cc1
ZINC000001749924,NC1=N[C@@H](c2ccccc2)N(c2cccc(Cl)c2)C(N)=N1
ZINC000006627681,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
