,zinc_id,gene_name,affinity,smiles
166,ZINC000013472714,DRTS_PLAFK,7.05,CCc1nc(N)nc(N)c1-c1ccc(-c2ccccc2)cc1
167,ZINC000013809237,DRTS_PLAFK,6.78,Cc1ccc(N2C(N)=NC(N)=N[C@H]2C(C)C)cc1
168,ZINC000013809239,DRTS_PLAFK,6.78,Cc1ccc(N2C(N)=NC(N)=N[C@@H]2C(C)C)cc1
169,ZINC000005372203,DRTS_PLAFK,6.74,Cc1cc2nc3n(c2cc1C)C(C)(C)NC(N)=N3
170,ZINC000003133773,DRTS_PLAFK,6.39,C=CCNC(=S)NNC(=O)c1cccn(Cc2cccc(Cl)c2)c1=O
171,ZINC000013469871,DRTS_PLAFK,6.22,C/C(=N\N=C(/N)S)c1ccc(Oc2c(Cl)cncc2Cl)cc1
172,ZINC000005992377,DRTS_PLAFK,6.1,N=C(NO)c1cccc(CS(=O)(=O)c2ccc(Cl)cc2)c1
173,ZINC000006118700,DRTS_PLAFK,6.1,NNc1nc2ccccc2nc1NN
174,ZINC000013858385,DRTS_PLAFK,6.05,CNC(=S)NNC(=O)c1cccn(Cc2cccc(Cl)c2)c1=O
175,ZINC000004394823,DRTS_PLAFK,6.03,N/C(=N/O)c1ccc(Oc2c(Cl)cncc2Cl)cc1
176,ZINC000004322438,DRTS_PLAFK,5.82,N/C(=N\O)c1ccc(CNC(=O)c2ccc(Cl)cc2)cc1
177,ZINC000004394094,DRTS_PLAFK,5.77,N/C(=N\O)c1ccc(Oc2cc(Cl)cc(Cl)c2)c([N+](=O)[O-])c1
178,ZINC000000128065,DRTS_PLAFK,5.7,N/N=C(\S)Nc1ccc(OCc2ccccc2)cc1
179,ZINC000002571257,DRTS_PLAFK,5.64,NC(=S)N/N=C/c1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1
180,ZINC000005765026,DRTS_PLAFK,5.64,Cc1[nH]c(N)cc2nc3ccccc3c1-2
181,ZINC000013809214,DRTS_PLAFK,5.42,CC(C)(C)[C@@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1
182,ZINC000013809216,DRTS_PLAFK,5.42,CC(C)(C)[C@H]1N=C(N)N=C(N)N1c1ccc(Cl)cc1
183,ZINC000013468996,DRTS_PLAFK,5.38,COC(=O)c1sccc1-c1ccc(/C(C)=N/NC(N)=O)o1
184,ZINC000017949002,DRTS_PLAFK,5.05,N/C(S)=N/N=C/c1ccccc1
