molecule_chembl_id,smiles,pKi_mean_value,mean_standard_value,pKi_first_value,first_standard_value,standard_units,target_organism
CHEMBL329687,NC1=NC(c2ccccc2)N(c2cccc(Cl)c2)C(N)=N1,7.931814138253838,11.7,7.931814138253838,11.7,nM,Plasmodium falciparum K1
CHEMBL90461,CCC1N=C(N)N=C(N)N1c1ccc(Br)cc1,8.244125144327509,5.7,8.244125144327509,5.7,nM,Plasmodium falciparum K1
CHEMBL92047,CCC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,8.443697499232712,3.6,8.443697499232712,3.6,nM,Plasmodium falciparum K1
CHEMBL91345,Cc1ccc(N2C(N)=NC(N)=NC2c2ccccc2)cc1,8.113509274827518,7.7,8.113509274827518,7.7,nM,Plasmodium falciparum K1
CHEMBL264392,CC(C)C1N=C(N)N=C(N)N1c1ccc(Cl)cc1,7.218244625347531,60.5,7.218244625347531,60.5,nM,Plasmodium falciparum K1
CHEMBL93748,CC1N=C(N)N=C(N)N1c1ccc(Br)cc1,8.244125144327509,5.7,8.244125144327509,5.7,nM,Plasmodium falciparum K1
CHEMBL7130,CC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,7.491694780636661,32.233333333333334,8.431798275933005,3.7,nM,Plasmodium falciparum K1
CHEMBL365894,N/C(=N/O)c1ccc(Oc2c(Cl)cncc2Cl)cc1,4.751221284624212,17732.85714285714,4.598599459218456,25200.0,nM,Plasmodium falciparum K1
CHEMBL95274,N/C(=N\O)c1ccc(CNC(=O)c2ccc(Cl)cc2)cc1,4.319276087857594,47942.857142857145,4.112382699664264,77200.0,nM,Plasmodium falciparum K1
CHEMBL97598,C/C(=N\N=C(/N)S)c1ccc(Oc2c(Cl)cncc2Cl)cc1,5.93128418763054,1171.4285714285713,6.045757490560675,900.0,nM,Plasmodium falciparum K1
CHEMBL94470,N=C(S)N/N=C/c1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1,4.94692155651658,11300.0,5.2839966563652006,5200.0,nM,Plasmodium falciparum K1
CHEMBL243185,NC(=S)N/N=C/c1ccccc1,4.52432881167557,29900.0,4.627087997029894,23600.0,nM,Plasmodium falciparum K1
CHEMBL95609,N/C(=N\O)c1cccc(CS(=O)(=O)c2ccc(Cl)cc2)c1,4.225691629127479,59471.42857142857,3.991399828238082,102000.0,nM,Plasmodium falciparum K1
CHEMBL186838,N/C(=N/O)c1ccc(Oc2cc(Cl)cc(Cl)c2)c([N+](=O)[O-])c1,4.804891412439546,15671.42857142857,5.619788758288394,2400.0,nM,Plasmodium falciparum K1
CHEMBL95783,N/N=C(\S)Nc1ccc(OCc2ccccc2)cc1,4.725182629756266,18828.571428571428,4.863279432843593,13700.0,nM,Plasmodium falciparum K1
CHEMBL95615,C=CCNC(=S)NNC(=O)c1cccn(Cc2cccc(Cl)c2)c1=O,5.013164309547511,9701.42857142857,4.818156412055227,15200.0,nM,Plasmodium falciparum K1
CHEMBL323554,C/N=C(\S)NNC(=O)c1cccn(Cc2cccc(Cl)c2)c1=O,5.066946789630613,8571.42857142857,4.94692155651658,11300.0,nM,Plasmodium falciparum K1
CHEMBL95567,NNc1nc2ccccc2nc1NN,5.240871986929786,5742.857142857143,5.443697499232712,3600.0,nM,Plasmodium falciparum K1
CHEMBL95725,COC(=O)c1sccc1-c1ccc(/C(C)=N/NC(N)=O)o1,4.87942606879415,13200.0,5.013228265733755,9700.0,nM,Plasmodium falciparum K1
CHEMBL280410,COc1cc(COc2cc(Cc3cnc(N)nc3N)ccc2OCc2ccccc2)cc(OC)c1OC,7.91721462968355,12.1,7.91721462968355,12.1,nM,Plasmodium falciparum K1
CHEMBL21799,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,9.031517051446064,0.93,9.0,1.0,nM,Plasmodium falciparum K1
CHEMBL279492,Nc1ncc(-c2ccc(Cl)cc2)c(N)n1,8.804100347590767,1.5699999999999998,8.619788758288394,2.4,nM,Plasmodium falciparum K1
CHEMBL279986,CCc1nc(N)nc(N)c1-c1ccc(-c2ccccc2)cc1,6.856985199745905,139.0,6.7258421507363195,188.0,nM,Plasmodium falciparum K1
CHEMBL22405,COC(=O)CCCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,9.607889534988686,0.24666666666666667,9.522878745280337,0.3,nM,Plasmodium falciparum K1
CHEMBL22271,CCOc1c(Br)cc(-c2c(N)nc(N)nc2CC)cc1Br,7.657577319177793,22.0,8.154901959985743,7.0,nM,Plasmodium falciparum K1
CHEMBL21494,COC(=O)CCCc1nc(N)nc(N)c1-c1cccc(Cl)c1,9.301029995663981,0.5,9.301029995663981,0.5,nM,Plasmodium falciparum K1
CHEMBL282275,CCc1nc(N)nc(N)c1-c1ccc(Br)cc1,9.244125144327509,0.57,9.522878745280337,0.3,nM,Plasmodium falciparum K1
CHEMBL22693,Nc1nc(N)c(-c2ccccc2)c(CCCc2ccccc2)n1,9.301029995663981,0.5,9.301029995663981,0.5,nM,Plasmodium falciparum K1
CHEMBL21357,Cc1nc(N)nc(N)c1-c1ccc(Cl)cc1,8.847711655616944,1.42,8.698970004336019,2.0,nM,Plasmodium falciparum K1
CHEMBL21691,Nc1nc(N)c(-c2ccc(Cl)cc2)c(CCCc2ccccc2)n1,9.146707481370472,0.7133333333333333,9.154901959985743,0.7,nM,Plasmodium falciparum K1
CHEMBL278813,COc1ccc(CCCc2nc(N)nc(N)c2-c2cccc(Cl)c2)cc1,8.289600533883199,5.133333333333334,8.657577319177793,2.2,nM,Plasmodium falciparum K1
CHEMBL21778,CCc1nc(N)nc(N)c1-c1ccc(C)cc1,9.198367653766834,0.6333333333333334,9.397940008672037,0.4,nM,Plasmodium falciparum K1
CHEMBL21885,CCc1nc(N)nc(N)c1-c1ccc(C(C)(C)C)cc1,9.164309428507574,0.685,9.221848749616356,0.6,nM,Plasmodium falciparum K1
CHEMBL22403,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCOCCCOc2ccccc2)n1,8.337242168318426,4.6000000000000005,9.397940008672037,0.4,nM,Plasmodium falciparum K1
CHEMBL25112,Nc1ncc(Cc2ccc(OCCCOc3cc(Cl)c(Cl)cc3Cl)cc2)c(N)n1,9.045757490560675,0.9,9.045757490560675,0.9,nM,Plasmodium falciparum K1
CHEMBL281412,CCc1nc(N)nc(N)c1-c1ccc(OC)cc1,8.958607314841775,1.1,9.045757490560675,0.9,nM,Plasmodium falciparum K1
CHEMBL22148,CCc1nc(N)nc(N)c1-c1ccccc1,7.457589570188407,34.86666666666667,8.638272163982407,2.3,nM,Plasmodium falciparum K1
CHEMBL434771,CCc1nc(N)nc(N)c1-c1ccc2c(c1)OCO2,7.606717349440635,24.733333333333334,8.958607314841775,1.1,nM,Plasmodium falciparum K1
CHEMBL22357,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1Cl,8.170053304058364,6.76,7.899629454882437,12.6,nM,Plasmodium falciparum K1
CHEMBL21408,Cc1nc(N)nc(N)c1-c1ccccc1,7.2186036948032095,60.45,7.962573502059376,10.9,nM,Plasmodium falciparum K1
CHEMBL416552,CCCCCCc1nc(N)nc(N)c1-c1ccccc1,8.451815389454893,3.533333333333333,9.522878745280337,0.3,nM,Plasmodium falciparum K1
CHEMBL21690,Nc1ncc(-c2ccccc2)c(N)n1,7.149047600206507,70.95,7.377785977033705,41.9,nM,Plasmodium falciparum K1
CHEMBL21414,Nc1ncc(-c2cccc(Cl)c2)c(N)n1,7.390939450069913,40.65,8.200659450546418,6.3,nM,Plasmodium falciparum K1
CHEMBL21921,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCc2ccccc2)n1,7.8297382846050425,14.799999999999999,8.920818753952375,1.2,nM,Plasmodium falciparum K1
CHEMBL22039,Cc1nc(N)nc(N)c1-c1cccc(Cl)c1,7.53860152954317,28.933333333333334,8.721246399047171,1.9,nM,Plasmodium falciparum K1
CHEMBL21407,COC(=O)CCCc1nc(N)nc(N)c1-c1ccccc1,8.42790323204948,3.733333333333333,9.221848749616356,0.6,nM,Plasmodium falciparum K1
