molecule_chembl_id,smiles,pKi_mean_value,mean_Ki_value,pKi_first_value,first_Ki_value,pKi_last_value,last_Ki_value,target_organism
CHEMBL92846,NC1=NCN(c2ccccc2)C(N)=N1,6.47755576649368,333.0,6.482804102050025,329.0,7.070581074285707,85.0,Plasmodium falciparum K1
CHEMBL90018,NC1=NCN(c2ccc(Cl)cc2)C(N)=N1,6.65024342599666,223.74666666666667,7.61261017366127,24.4,9.075720713938118,0.84,Plasmodium falciparum K1
CHEMBL93888,CCCC1N=C(N)N=C(N)N1c1ccc(Br)cc1,7.188424994129407,64.8,8.585026652029182,2.6,6.896196279044043,127.0,Plasmodium falciparum K1
CHEMBL329687,NC1=NC(c2ccccc2)N(c2cccc(Cl)c2)C(N)=N1,6.712870379280889,193.70000000000002,7.931814138253838,11.7,7.978810700930062,10.5,Plasmodium falciparum K1
CHEMBL90461,CCC1N=C(N)N=C(N)N1c1ccc(Br)cc1,6.983593499128882,103.85,8.244125144327509,5.7,6.694648630553376,202.0,Plasmodium falciparum K1
CHEMBL92047,CCC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,7.016373712875465,96.3,8.443697499232712,3.6,6.723538195826755,189.0,Plasmodium falciparum K1
CHEMBL91345,Cc1ccc(N2C(N)=NC(N)=NC2c2ccccc2)cc1,7.051342567858679,88.85,8.113509274827518,7.7,6.769551078621726,170.0,Plasmodium falciparum K1
CHEMBL264392,CC(C)C1N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.0973173550562745,799.25,7.218244625347531,60.5,5.813043664534588,1538.0,Plasmodium falciparum K1
CHEMBL93748,CC1N=C(N)N=C(N)N1c1ccc(Br)cc1,6.983593499128882,103.85,8.244125144327509,5.7,6.694648630553376,202.0,Plasmodium falciparum K1
CHEMBL7130,CC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,7.007722698218582,98.2375,8.431798275933005,3.7,7.045757490560675,90.0,Plasmodium falciparum K1
CHEMBL365894,N/C(=N/O)c1ccc(Oc2c(Cl)cncc2Cl)cc1,4.751221284624212,17732.85714285714,4.598599459218456,25200.0,6.031517051446064,930.0,Plasmodium falciparum K1
CHEMBL95274,N/C(=N\O)c1ccc(CNC(=O)c2ccc(Cl)cc2)cc1,4.319276087857594,47942.857142857145,4.112382699664264,77200.0,5.823908740944319,1500.0,Plasmodium falciparum K1
CHEMBL97598,C/C(=N\N=C(/N)S)c1ccc(Oc2c(Cl)cncc2Cl)cc1,5.93128418763054,1171.4285714285713,6.045757490560675,900.0,5.853871964321762,1400.0,Plasmodium falciparum K1
CHEMBL94470,N=C(S)N/N=C/c1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1,4.94692155651658,11300.0,5.2839966563652006,5200.0,5.045757490560675,9000.0,Plasmodium falciparum K1
CHEMBL243185,NC(=S)N/N=C/c1ccccc1,4.52432881167557,29900.0,4.627087997029894,23600.0,4.508638306165727,31000.0,Plasmodium falciparum K1
CHEMBL95609,N/C(=N\O)c1cccc(CS(=O)(=O)c2ccc(Cl)cc2)c1,4.225691629127479,59471.42857142857,3.991399828238082,102000.0,6.096910013008056,800.0,Plasmodium falciparum K1
CHEMBL186838,N/C(=N/O)c1ccc(Oc2cc(Cl)cc(Cl)c2)c([N+](=O)[O-])c1,4.804891412439546,15671.42857142857,5.619788758288394,2400.0,5.769551078621726,1700.0,Plasmodium falciparum K1
CHEMBL95783,N/N=C(\S)Nc1ccc(OCc2ccccc2)cc1,4.725182629756266,18828.571428571428,4.863279432843593,13700.0,5.698970004336019,2000.0,Plasmodium falciparum K1
CHEMBL95615,C=CCNC(=S)NNC(=O)c1cccn(Cc2cccc(Cl)c2)c1=O,5.013164309547511,9701.42857142857,4.818156412055227,15200.0,6.3872161432802645,410.0,Plasmodium falciparum K1
CHEMBL323554,C/N=C(\S)NNC(=O)c1cccn(Cc2cccc(Cl)c2)c1=O,5.066946789630613,8571.42857142857,4.94692155651658,11300.0,6.045757490560675,900.0,Plasmodium falciparum K1
CHEMBL95567,NNc1nc2ccccc2nc1NN,5.240871986929786,5742.857142857143,5.443697499232712,3600.0,5.065501548756432,8600.0,Plasmodium falciparum K1
CHEMBL95725,COC(=O)c1sccc1-c1ccc(/C(C)=N/NC(N)=O)o1,4.87942606879415,13200.0,5.013228265733755,9700.0,4.698970004336019,20000.0,Plasmodium falciparum K1
CHEMBL280410,COc1cc(COc2cc(Cc3cnc(N)nc3N)ccc2OCc2ccccc2)cc(OC)c1OC,6.635449004646028,231.5,7.91721462968355,12.1,6.29860473098608,502.8,Plasmodium falciparum K1
CHEMBL21799,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,7.818549454930459,15.186250000000001,9.0,1.0,9.102372908709558,0.79,Plasmodium falciparum K1
CHEMBL279492,Nc1ncc(-c2ccc(Cl)cc2)c(N)n1,6.634680524103784,231.90999999999997,8.619788758288394,2.4,9.130768280269024,0.74,Plasmodium falciparum K1
CHEMBL279986,CCc1nc(N)nc(N)c1-c1ccc(-c2ccccc2)cc1,6.446906213562814,357.35,6.7258421507363195,188.0,7.045757490560675,90.0,Plasmodium falciparum K1
CHEMBL22405,COC(=O)CCCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,7.140156471992709,72.4175,9.522878745280337,0.3,9.853871964321762,0.14,Plasmodium falciparum K1
CHEMBL22271,CCOc1c(Br)cc(-c2c(N)nc(N)nc2CC)cc1Br,6.6048047015078595,248.425,8.154901959985743,7.0,7.431798275933005,37.0,Plasmodium falciparum K1
CHEMBL21494,COC(=O)CCCc1nc(N)nc(N)c1-c1cccc(Cl)c1,8.812882336716275,1.5385714285714285,9.301029995663981,0.5,8.568636235841012,2.7,Plasmodium falciparum K1
CHEMBL282275,CCc1nc(N)nc(N)c1-c1ccc(Br)cc1,7.715907809357166,19.235,9.522878745280337,0.3,9.075720713938118,0.84,Plasmodium falciparum K1
CHEMBL22693,Nc1nc(N)c(-c2ccccc2)c(CCCc2ccccc2)n1,8.765916793966632,1.7142857142857142,9.301029995663981,0.5,8.327902142064282,4.7,Plasmodium falciparum K1
CHEMBL21357,Cc1nc(N)nc(N)c1-c1ccc(Cl)cc1,7.206663697327847,62.135,8.698970004336019,2.0,9.075720713938118,0.84,Plasmodium falciparum K1
CHEMBL21691,Nc1nc(N)c(-c2ccc(Cl)cc2)c(CCCc2ccccc2)n1,7.4445427827953505,35.93,9.154901959985743,0.7,9.130768280269024,0.74,Plasmodium falciparum K1
CHEMBL278813,COc1ccc(CCCc2nc(N)nc(N)c2-c2cccc(Cl)c2)cc1,8.40340290437354,3.95,8.657577319177793,2.2,7.958607314841775,11.0,Plasmodium falciparum K1
CHEMBL21778,CCc1nc(N)nc(N)c1-c1ccc(C)cc1,7.294456997501907,50.7625,9.397940008672037,0.4,8.958607314841775,1.1,Plasmodium falciparum K1
CHEMBL21885,CCc1nc(N)nc(N)c1-c1ccc(C(C)(C)C)cc1,7.313207377128215,48.6175,9.221848749616356,0.6,9.113509274827518,0.77,Plasmodium falciparum K1
CHEMBL22403,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCOCCCOc2ccccc2)n1,8.576754126063193,2.65,9.397940008672037,0.4,7.886056647693163,13.0,Plasmodium falciparum K1
CHEMBL25112,Nc1ncc(Cc2ccc(OCCCOc3cc(Cl)c(Cl)cc3Cl)cc2)c(N)n1,7.674347529427687,21.166666666666668,9.045757490560675,0.9,7.407823242604133,39.1,Plasmodium falciparum K1
CHEMBL281412,CCc1nc(N)nc(N)c1-c1ccc(OC)cc1,7.497572880015567,31.8,9.045757490560675,0.9,8.886056647693163,1.3,Plasmodium falciparum K1
CHEMBL22148,CCc1nc(N)nc(N)c1-c1ccccc1,7.653158230357748,22.225,8.638272163982407,2.3,7.0,100.0,Plasmodium falciparum K1
CHEMBL434771,CCc1nc(N)nc(N)c1-c1ccc2c(c1)OCO2,7.18351012927822,65.5375,8.958607314841775,1.1,7.142667503568731,72.0,Plasmodium falciparum K1
CHEMBL22357,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1Cl,6.235110596118604,581.9549999999999,7.899629454882437,12.6,9.036212172654444,0.92,Plasmodium falciparum K1
CHEMBL21408,Cc1nc(N)nc(N)c1-c1ccccc1,7.339134521996131,45.8,7.962573502059376,10.9,6.958607314841775,110.0,Plasmodium falciparum K1
CHEMBL416552,CCCCCCc1nc(N)nc(N)c1-c1ccccc1,8.726998727936262,1.875,9.522878745280337,0.3,8.0,10.0,Plasmodium falciparum K1
CHEMBL21690,Nc1ncc(-c2ccccc2)c(N)n1,7.126243578296644,74.775,7.377785977033705,41.9,7.0,100.0,Plasmodium falciparum K1
CHEMBL21414,Nc1ncc(-c2cccc(Cl)c2)c(N)n1,7.458420756053419,34.8,8.200659450546418,6.3,7.1249387366083,75.0,Plasmodium falciparum K1
CHEMBL21921,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCc2ccccc2)n1,8.141162148571414,7.225,8.920818753952375,1.2,7.376750709602099,42.0,Plasmodium falciparum K1
CHEMBL22039,Cc1nc(N)nc(N)c1-c1cccc(Cl)c1,7.8117748272947205,15.425,8.721246399047171,1.9,7.080921907623926,83.0,Plasmodium falciparum K1
CHEMBL21407,COC(=O)CCCc1nc(N)nc(N)c1-c1ccccc1,8.119186407719209,7.6,9.221848749616356,0.6,8.0,10.0,Plasmodium falciparum K1
CHEMBL22129,CCc1nc(N)nc(N)c1-c1ccc(OCc2ccc(Cl)cc2Cl)c(OC)c1,7.734003629504921,18.45,9.0,1.0,8.017728766960431,9.6,Plasmodium falciparum K1
CHEMBL279509,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCc1ccccc1,7.337242168318426,46.0,8.3767507096021,4.2,7.1432711096171175,71.9,Plasmodium falciparum K1
CHEMBL161117,NC1=NC(c2cccc(Oc3ccccc3)c2)N(c2cccc(Cl)c2)C(N)=N1,8.525783735923746,2.98,8.958607314841775,1.1,8.602059991327963,2.5,Plasmodium falciparum K1
CHEMBL346932,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCOC(=O)c2ccccc2)n1,8.775985188627136,1.675,8.823908740944319,1.5,8.443697499232712,3.6,Plasmodium falciparum K1
CHEMBL158639,CCCC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,6.952491494405988,111.55999999999999,8.337242168318426,4.6,6.326979092871104,471.0,Plasmodium falciparum K1
CHEMBL346982,CCCOc1ccc(C2N=C(N)N=C(N)N2c2cccc(Cl)c2)cc1,8.446116973356126,3.5799999999999996,8.481486060122112,3.3,8.031517051446064,9.3,Plasmodium falciparum K1
CHEMBL352195,NC1=NC(c2cccc(Oc3ccc(Cl)cc3)c2)N(c2ccc(Cl)cc2)C(N)=N1,7.135014539340206,73.28,8.853871964321762,1.4,8.1249387366083,7.5,Plasmodium falciparum K1
CHEMBL161757,NC1=NC(c2cccc(Oc3cc(Cl)cc(Cl)c3)c2)N(c2cccc(Cl)c2)C(N)=N1,8.665546248849068,2.16,8.744727494896694,1.8,8.327902142064282,4.7,Plasmodium falciparum K1
CHEMBL159052,NC1=NC(c2cccc(OCCCOc3cc(Cl)c(Cl)cc3Cl)c2)N(c2cccc(Cl)c2)C(N)=N1,8.51427857351842,3.06,8.397940008672037,4.0,8.585026652029182,2.6,Plasmodium falciparum K1
CHEMBL444605,CC(=O)OCCCc1nc(N)nc(N)c1-c1cccc(Cl)c1,8.005462895701502,9.875,8.508638306165727,3.1,7.503070351926786,31.4,Plasmodium falciparum K1
CHEMBL354011,NC1=NC(c2cccc(OCc3ccccc3)c2)N(c2cccc(Cl)c2)C(N)=N1,8.397940008672037,4.0,8.638272163982407,2.3,8.494850021680094,3.2,Plasmodium falciparum K1
CHEMBL161009,CCCCCCC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,7.562566556202029,27.380000000000003,8.619788758288394,2.4,6.995678626217357,101.0,Plasmodium falciparum K1
CHEMBL347190,CC(=O)OCCCc1nc(N)nc(N)c1-c1ccccc1,7.169732199066358,67.65,7.97469413473523,10.6,6.625251653989896,237.0,Plasmodium falciparum K1
CHEMBL158054,CCCC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,5.4466389255053125,3575.7,8.455931955649724,3.5,5.034845354013075,9229.0,Plasmodium falciparum K1
CHEMBL159032,NC1=NC(c2cccc(Oc3ccccc3)c2)N(c2ccc(Cl)cc2)C(N)=N1,7.099305225547602,79.56,9.301029995663981,0.5,8.568636235841012,2.7,Plasmodium falciparum K1
CHEMBL158691,CC(C)C1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,6.209926051573696,616.7,7.5934598195660445,25.5,5.662141570958905,2177.0,Plasmodium falciparum K1
CHEMBL345146,CC(C)C1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,4.896055241731906,12704.125,7.437707135543525,36.5,4.348809241425956,44791.0,Plasmodium falciparum K1
CHEMBL161451,NC1=NC(c2ccc(Oc3ccccc3)cc2)N(c2cccc(Cl)c2)C(N)=N1,8.928117992693874,1.1800000000000002,9.154901959985743,0.7,8.568636235841012,2.7,Plasmodium falciparum K1
CHEMBL351099,NC1=NC(c2cccc(OCc3ccccc3)c2)N(c2ccc(Cl)cc2)C(N)=N1,6.485213251929535,327.18,9.154901959985743,0.7,8.207608310501746,6.2,Plasmodium falciparum K1
CHEMBL159040,Nc1nc(N)c(-c2ccccc2)c(CCCO)n1,6.691702434055085,203.375,7.070581074285707,85.0,6.260427655549908,549.0,Plasmodium falciparum K1
CHEMBL422005,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCO)n1,7.6130553756294255,24.375,8.036212172654444,9.2,7.2441251443275085,57.0,Plasmodium falciparum K1
CHEMBL352441,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCOC(=O)OCc2ccccc2)n1,8.775985188627136,1.675,8.920818753952375,1.2,8.443697499232712,3.6,Plasmodium falciparum K1
CHEMBL158570,NC1=NC(c2cccc(Oc3ccc(Cl)cc3)c2)N(c2cccc(Cl)c2)C(N)=N1,8.402304814074487,3.96,8.886056647693163,1.3,8.455931955649724,3.5,Plasmodium falciparum K1
CHEMBL346963,CCCCCCCC1N=C(N)N=C(N)N1c1cccc(Cl)c1,8.76447155309245,1.72,8.568636235841012,2.7,8.42021640338319,3.8,Plasmodium falciparum K1
CHEMBL348151,NC1=NC(c2cccc(Oc3cccc(C(F)(F)F)c3)c2)N(c2cccc(Cl)c2)C(N)=N1,8.478861916295964,3.3200000000000003,8.568636235841012,2.7,8.187086643357144,6.5,Plasmodium falciparum K1
CHEMBL162126,Nc1nc(N)c(-c2ccccc2)c(CCCOC(=O)c2ccccc2)n1,8.2839966563652,5.2,8.468521082957745,3.4,7.853871964321762,14.0,Plasmodium falciparum K1
