zinc_id,ortholog_name,gene_name,affinity,chembldocid,title,reference.pubmed_id,reference.doi,reference.chembl_id,reference.journal,reference.year
ZINC000000128065,DRTS_PLAFK,DRTS_PLAFK,5.70,21047,None,15293997,None,CHEMBL1138679,J. Med. Chem.,2004
ZINC000000128065,DRTS_PLAFK,DRTS_PLAFK,5.28,17071,None,12825927,None,CHEMBL1145823,J. Med. Chem.,2003
ZINC000000146421,DRTS_PLAFK,DRTS_PLAFK,8.96,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000000146421,DRTS_PLAFK,DRTS_PLAFK,8.92,21047,None,15293997,None,CHEMBL1138679,J. Med. Chem.,2004
ZINC000000146421,DRTS_PLAFK,DRTS_PLAFK,5.71,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000000380804,DRTS_PLAFK,DRTS_PLAFK,7.63,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000000380804,DRTS_PLAFK,DRTS_PLAFK,5.40,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000000380804,DRTS_PLAFK,DRTS_PLAFK,6.33,17636,None,14711307,None,CHEMBL1148379,J. Med. Chem.,2004
ZINC000001666573,DRTS_PLAFK,DRTS_PLAFK,8.96,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000001666573,DRTS_PLAFK,DRTS_PLAFK,8.96,21047,None,15293997,None,CHEMBL1138679,J. Med. Chem.,2004
ZINC000001666573,DRTS_PLAFK,DRTS_PLAFK,6.88,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000001666576,DRTS_PLAFK,DRTS_PLAFK,5.89,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000001666576,DRTS_PLAFK,DRTS_PLAFK,7.85,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000001666576,DRTS_PLAFK,DRTS_PLAFK,8.66,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000001666576,DRTS_PLAFK,DRTS_PLAFK,6.66,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000001666576,DRTS_PLAFK,DRTS_PLAFK,7.60,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000001666576,DRTS_PLAFK,DRTS_PLAFK,8.52,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000001666576,DRTS_PLAFK,DRTS_PLAFK,8.43,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000001666576,DRTS_PLAFK,DRTS_PLAFK,6.51,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000001666576,DRTS_PLAFK,DRTS_PLAFK,6.48,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000001666576,DRTS_PLAFK,DRTS_PLAFK,6.47,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000001666576,DRTS_PLAFK,DRTS_PLAFK,7.30,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000001666576,DRTS_PLAFK,DRTS_PLAFK,6.28,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000001666576,DRTS_PLAFK,DRTS_PLAFK,7.05,21047,None,15293997,None,CHEMBL1138679,J. Med. Chem.,2004
ZINC000001722911,DRTS_PLAFK,DRTS_PLAFK,6.72,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000001722911,DRTS_PLAFK,DRTS_PLAFK,8.44,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000001748451,DRTS_PLAFK,DRTS_PLAFK,5.73,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000001748451,DRTS_PLAFK,DRTS_PLAFK,6.71,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000001748451,DRTS_PLAFK,DRTS_PLAFK,5.61,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000001748451,DRTS_PLAFK,DRTS_PLAFK,8.35,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000001748451,DRTS_PLAFK,DRTS_PLAFK,8.35,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000001748451,DRTS_PLAFK,DRTS_PLAFK,7.31,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000001748451,DRTS_PLAFK,DRTS_PLAFK,7.31,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000001749924,DRTS_PLAFK,DRTS_PLAFK,8.00,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000001749924,DRTS_PLAFK,DRTS_PLAFK,7.98,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000001749924,DRTS_PLAFK,DRTS_PLAFK,7.93,15522,None,10893311,None,CHEMBL1133696,J. Med. Chem.,2000
ZINC000001749924,DRTS_PLAFK,DRTS_PLAFK,7.93,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000001749924,DRTS_PLAFK,DRTS_PLAFK,6.95,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000001749924,DRTS_PLAFK,DRTS_PLAFK,7.70,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000001749924,DRTS_PLAFK,DRTS_PLAFK,6.70,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
ZINC000001749924,DRTS_PLAFK,DRTS_PLAFK,6.66,17662,None,14736247,None,CHEMBL1138835,J. Med. Chem.,2004
