,zinc_id,smiles,first_affinity,last_affinity,mean_affinity,chembldocid,reference.pubmed_id,reference.chembl_id
319,ZINC000014968127,COc1cc(CC#Cc2c(C)nc(N)nc2N)cc(OC)c1OC,6.4,6.4,6.4,45337,19007108,CHEMBL1140220
320,ZINC000014968131,COc1cc([C@@H](C)C#Cc2cnc(N)nc2N)cc(OC)c1OC,5.84,5.84,5.84,45337,19007108,CHEMBL1140220
321,ZINC000014968135,COc1cc([C@H](C)C#Cc2cnc(N)nc2N)cc(OC)c1OC,5.84,5.84,5.84,45337,19007108,CHEMBL1140220
322,ZINC000014968139,COc1cc([C@@H](C)C#Cc2c(C)nc(N)nc2N)cc(OC)c1OC,5.86,5.86,5.86,45337,19007108,CHEMBL1140220
323,ZINC000014968142,COc1cc([C@H](C)C#Cc2c(C)nc(N)nc2N)cc(OC)c1OC,5.86,5.86,5.86,45337,19007108,CHEMBL1140220
324,ZINC000014968154,COc1cc([C@@H](O)C#Cc2c(C)nc(N)nc2N)cc(OC)c1OC,5.24,5.24,5.24,45337,19007108,CHEMBL1140220
325,ZINC000014968158,COc1cc([C@H](O)C#Cc2c(C)nc(N)nc2N)cc(OC)c1OC,5.24,5.24,5.24,45337,19007108,CHEMBL1140220
326,ZINC000014968161,COc1cc([C@H](C#Cc2cnc(N)nc2N)OC)cc(OC)c1OC,5.94,5.94,5.94,45337,19007108,CHEMBL1140220
327,ZINC000014968165,COc1cc([C@@H](C#Cc2cnc(N)nc2N)OC)cc(OC)c1OC,5.94,5.94,5.94,45337,19007108,CHEMBL1140220
328,ZINC000014968168,COc1cc([C@H](C#Cc2c(C)nc(N)nc2N)OC)cc(OC)c1OC,5.91,5.91,5.91,45337,19007108,CHEMBL1140220
329,ZINC000014968172,COc1cc([C@@H](C#Cc2c(C)nc(N)nc2N)OC)cc(OC)c1OC,5.91,5.91,5.91,45337,19007108,CHEMBL1140220
330,ZINC000014970687,CCc1nc(N)nc(N)c1-c1ccc2c(c1)nc(C1CCCC1)n2Cc1ccc(S(C)(=O)=O)cc1,5.74,5.74,5.74,31336,16854051,CHEMBL1138039
331,ZINC000014970691,CCc1nc(N)nc(N)c1-c1ccc2c(c1)nc(-c1ccccc1)n2Cc1ccc(S(C)(=O)=O)cc1,5.64,5.64,5.64,31336,16854051,CHEMBL1138039
332,ZINC000014974293,Cc1cc2nc(N)[nH]c(=O)c2n1Cc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,6.92,6.92,6.92,38127,18072727,CHEMBL1140703
333,ZINC000015220490,CCOC(=O)C1=C(C)NC(=S)N[C@@H]1/C=C\c1ccccc1,5.54,5.54,5.54,69872,None,CHEMBL3045961
334,ZINC000015220492,CCOC(=O)C1=C(C)NC(=S)N[C@H]1/C=C\c1ccccc1,5.54,5.54,5.54,69872,None,CHEMBL3045961
335,ZINC000016923786,Nc1nc(N)c2c(Cl)c(CNc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)ccc2n1,8.42,8.42,8.42,10151,2738891,CHEMBL1124621
336,ZINC000016981849,CC1(C)N=C(N)N=C(N)N1c1ccccc1,5.78,5.78,5.78,13279,7699713,CHEMBL1128273
337,ZINC000017005705,CN(Cc1ccc2nc(N)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1,7.08,7.08,7.08,9629,3339615,CHEMBL1124218
338,ZINC000017058506,Nc1nc2c(c(=O)[nH]1)N=C(CCc1ccccc1)CO2,5.52,5.52,5.52,82068,110934,CHEMBL3227969
339,ZINC000017059514,Nc1nc(N)c2nc(COc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)cnc2n1,6.13,6.13,6.13,7155,6772788,CHEMBL1121493
340,ZINC000017060043,Nc1nc(N)c2nc(CSc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1,5.57,5.57,5.57,7155,6772788,CHEMBL1121493
341,ZINC000017106144,Cc1c(NCc2ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc2)ccc2nc(N)[nH]c(=O)c12,6.34,6.34,6.34,9629,3339615,CHEMBL1124218
342,ZINC000017106148,Nc1nc(N)c2cc(NCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)ccc2n1,8.07,8.07,8.07,9629,3339615,CHEMBL1124218
343,ZINC000017106162,Nc1nc(N)c2cc(CN(C=O)c3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)ccc2n1,8.24,8.24,8.24,9629,3339615,CHEMBL1124218
344,ZINC000017106166,Nc1nc2ccc(CSc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)cc2c(=O)[nH]1,6.48,6.48,6.48,10044,2704031,CHEMBL1124448
345,ZINC000017106187,Nc1nc2ccc(COc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)cc2c(=O)[nH]1,6.77,6.77,6.77,10044,2704031,CHEMBL1124448
