,zinc_id,smiles,first_affinity,mean_affinity,chembldocid,reference.pubmed_id,reference.chembl_id,reference.year
73,ZINC000013472741,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,9.52,7.624285714285714,16871,11881993,CHEMBL1135602,2002
74,ZINC000013472742,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,9.4,7.20625,16871,11881993,CHEMBL1135602,2002
75,ZINC000013472743,CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,9.4,7.573076923076924,16871,11881993,CHEMBL1135602,2002
76,ZINC000013472744,Nc1ncc(Cc2ccc(OCCCOc3cc(Cl)c(Cl)cc3Cl)cc2)c(N)n1,9.05,7.3875,16871,11881993,CHEMBL1135602,2002
77,ZINC000013476267,C[C@@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1,6.69,7.465,15522,10893311,CHEMBL1133696,2000
78,ZINC000013476268,C[C@H]1N=C(N)N=C(N)N1c1ccc(Br)cc1,6.69,7.465,15522,10893311,CHEMBL1133696,2000
79,ZINC000013476270,Cc1ccc(N2C(N)=NC(N)=N[C@H]2C)cc1,6.73,7.1850000000000005,15522,10893311,CHEMBL1133696,2000
80,ZINC000013476271,Cc1ccc(N2C(N)=NC(N)=N[C@@H]2C)cc1,6.73,7.1850000000000005,15522,10893311,CHEMBL1133696,2000
81,ZINC000013476276,CCCCCC[C@@]1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,9.22,6.620909090909091,17662,14736247,CHEMBL1138835,2004
82,ZINC000013476277,CCCCCC[C@]1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,9.22,6.620909090909091,17662,14736247,CHEMBL1138835,2004
83,ZINC000013476289,NC1=N[C@@H](c2ccccc2)N(c2ccc(Br)cc2)C(N)=N1,8.54,7.795,15522,10893311,CHEMBL1133696,2000
84,ZINC000013476290,NC1=N[C@H](c2ccccc2)N(c2ccc(Br)cc2)C(N)=N1,8.54,7.795,15522,10893311,CHEMBL1133696,2000
85,ZINC000013476296,NC1=N[C@@H](c2ccccc2)N(c2ccc(Cl)c(Cl)c2)C(N)=N1,8.8,8.38,15522,10893311,CHEMBL1133696,2000
86,ZINC000013476298,NC1=N[C@H](c2ccccc2)N(c2ccc(Cl)c(Cl)c2)C(N)=N1,8.8,8.38,15522,10893311,CHEMBL1133696,2000
87,ZINC000013488367,C[C@@H]1N=C(N)N=C(N)N1c1cccc(Cl)c1,7.99,7.86,15522,10893311,CHEMBL1133696,2000
88,ZINC000013488368,C[C@H]1N=C(N)N=C(N)N1c1cccc(Cl)c1,7.99,7.86,15522,10893311,CHEMBL1133696,2000
89,ZINC000013532846,CCCCCOc1ccc(Cc2cnc(N)nc2N)cc1,6.86,6.81,17636,14711307,CHEMBL1148379,2004
90,ZINC000013532849,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,8.74,7.225,17636,14711307,CHEMBL1148379,2004
91,ZINC000013532854,CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,5.99,6.8525,17636,14711307,CHEMBL1148379,2004
92,ZINC000013532859,CCCCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,6.87,7.12,17636,14711307,CHEMBL1148379,2004
93,ZINC000013532863,CCCCCOc1ccc(Cc2cnc(N)nc2N)cc1OCC,8.8,7.025,17636,14711307,CHEMBL1148379,2004
