zinc_id,gene_name,gene_name,affinity
ZINC000002034277,DRTS_PLAFK,DRTS_PLAFK,7.22
ZINC000013809241,DRTS_PLAFK,DRTS_PLAFK,7.07
ZINC000013809243,DRTS_PLAFK,DRTS_PLAFK,7.06
ZINC000013472714,DRTS_PLAFK,DRTS_PLAFK,7.05
ZINC000013809237,DRTS_PLAFK,DRTS_PLAFK,6.78
ZINC000013809239,DRTS_PLAFK,DRTS_PLAFK,6.78
ZINC000005372203,DRTS_PLAFK,DRTS_PLAFK,6.74
ZINC000003133773,DRTS_PLAFK,DRTS_PLAFK,6.39
ZINC000013469871,DRTS_PLAFK,DRTS_PLAFK,6.22
ZINC000005992377,DRTS_PLAFK,DRTS_PLAFK,6.10
ZINC000006118700,DRTS_PLAFK,DRTS_PLAFK,6.10
ZINC000013858385,DRTS_PLAFK,DRTS_PLAFK,6.05
ZINC000004394823,DRTS_PLAFK,DRTS_PLAFK,6.03
ZINC000004322438,DRTS_PLAFK,DRTS_PLAFK,5.82
ZINC000004394094,DRTS_PLAFK,DRTS_PLAFK,5.77
ZINC000000128065,DRTS_PLAFK,DRTS_PLAFK,5.70
ZINC000002571257,DRTS_PLAFK,DRTS_PLAFK,5.64
ZINC000005765026,DRTS_PLAFK,DRTS_PLAFK,5.64
ZINC000013809214,DRTS_PLAFK,DRTS_PLAFK,5.42
ZINC000013809216,DRTS_PLAFK,DRTS_PLAFK,5.42
ZINC000013468996,DRTS_PLAFK,DRTS_PLAFK,5.38
ZINC000017949002,DRTS_PLAFK,DRTS_PLAFK,5.05
